clip_id,seed,n_frames,ed_index,es_index,weight_ed,weight_es,weight_ed_es_sum,argmax_frame,entropy
0,0,16,1,6,0.062361571937799454,0.06286239624023438,0.12522396817803383,6,2.772581832444872
1,1,16,2,7,0.06290224916151818,0.0627611426161187,0.12566339177763688,2,2.7725789804078538
2,2,16,3,8,0.06258266442486146,0.062357023590643046,0.12493968801550451,7,2.7725821082606066
3,3,16,4,9,0.06243114196669736,0.06253819935969337,0.12496934132639073,10,2.7725875910899145
4,4,16,1,6,0.06289213708364555,0.06284906527849837,0.12574120236214392,10,2.772576420293338
5,5,16,2,7,0.06211369461523855,0.06249289936388694,0.12460659397912549,11,2.772584152132636
6,6,16,3,8,0.061869699507951736,0.062044039368629456,0.12391373887658119,5,2.7725770134150203
7,7,16,4,9,0.06265927082799647,0.06230637407933781,0.12496564490733428,12,2.772580954219933
